,Movie Title,Release Year,Runtime,IMDB_Rating,Director,Star1,Star2,Star3,Star4,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Ranking,Release Date,Production Budget,Domestic Gross,Worldwide Gross
182,The Hobbit: An Unexpected Journey,2012,169,7.8,Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage,Andy Serkis,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77,2012-12-11,200000000,303003568,1014938545
183,Atonement,2007,123,7.8,Joe Wright,Keira Knightley,James McAvoy,Brenda Blethyn,Saoirse Ronan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,2007-12-07,30000000,50980159,129779728
184,Drive,2011,100,7.8,Nicolas Winding Refn,Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011-09-16,15000000,35060689,81357930
185,American Gangster,2007,157,7.8,Ridley Scott,Denzel Washington,Russell Crowe,Chiwetel Ejiofor,Josh Brolin,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,2007-11-02,100000000,130164645,267985456
186,Avatar,2009,162,7.8,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,2009-12-17,237000000,785221649,2923706026
187,Apocalypto,2006,139,7.8,Mel Gibson,Gerardo Taracena,Raoul Max Trujillo,Dalia Hernández,Rudy Youngblood,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2006-12-08,40000000,50866635,121032272
188,Hot Fuzz,2007,121,7.8,Edgar Wright,Simon Pegg,Nick Frost,Martin Freeman,Bill Nighy,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2007-02-16,16000000,23618786,80695830
189,The Curious Case of Benjamin Button,2008,166,7.8,David Fincher,Brad Pitt,Cate Blanchett,Tilda Swinton,Julia Ormond,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,209,2008-12-25,160000000,127509326,329631958
190,Pride & Prejudice,2005,129,7.8,Joe Wright,Keira Knightley,Matthew Macfadyen,Brenda Blethyn,Donald Sutherland,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,2005-11-11,28000000,43285705,131462650
191,The World's Fastest Indian,2005,127,7.8,Roger Donaldson,Anthony Hopkins,Diane Ladd,Iain Rea,Tessa Mitchell,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2005-10-13,25000000,5128124,18991288
192,Serenity,2005,119,7.8,Joss Whedon,Nathan Fillion,Gina Torres,Chiwetel Ejiofor,Alan Tudyk,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2005-09-30,39000000,25514517,40319440
193,Walk the Line,2005,136,7.8,James Mangold,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,Robert Patrick,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,2005-11-18,29000000,119519402,187707495
194,The Notebook,2004,123,7.8,Nick Cassavetes,Gena Rowlands,James Garner,Rachel McAdams,Ryan Gosling,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,2004-06-25,30000000,81582653,116223302
195,The Count of Monte Cristo,2002,131,7.8,Kevin Reynolds,Jim Caviezel,Guy Pearce,Christopher Adamson,JB Blanc,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2002-01-25,40000000,54228104,75389090
196,Remember the Titans,2000,113,7.8,Boaz Yakin,Denzel Washington,Will Patton,Wood Harris,Ryan Hurst,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2000-09-29,30000000,115719751,136771683
197,Cast Away,2000,143,7.8,Robert Zemeckis,Tom Hanks,Helen Hunt,Paul Sanchez,Lari White,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,635,2000-12-22,85000000,233632142,427230516
198,The Insider,1999,157,7.8,Michael Mann,Russell Crowe,Al Pacino,Christopher Plummer,Diane Venora,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,946,1999-11-05,68000000,28965197,60265197
